Info 0    [15:40:1.195] Starting TS Server
Info 26   [15:40:3.87] Elapsed:: 2ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 27   [15:40:3.87] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 28   [15:40:3.93] Elapsed:: 6ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 29   [15:40:3.93] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 30   [15:40:3.93] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging/types-registry-950c5f00 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 31   [15:40:3.94] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 32   [15:40:3.96] Elapsed:: 2ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 33   [15:40:3.97] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json.3993660820 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 34   [15:40:3.97] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json.3993660820 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 35   [15:40:3.102] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
